id;name;latitude;longitude;typeLandCode;countryCode;population;dem;isLoad
1003;Harlingen;53.17477;5.42244;12;1;16119;3;0
1004;Harpel;52.99917;7.08889;12;1;135;2;0
1005;Harskamp;52.13;5.75278;12;1;3450;25;0
1006;Hartwerd;53.06788;5.56801;12;1;125;1;0
1007;Haskerdijken;52.99304;5.87854;12;1;395;1;0
1008;Haskerhorne;52.95351;5.82941;12;1;570;0;0
1009;Hasselderheide;51.42585;6.17329;12;1;310;22;0
1010;Hasselt;52.59267;6.09527;12;1;6959;2;0
1011;Hatert;51.80635;5.83057;19;1;10210;13;0
1012;Hattem;52.47566;6.05195;2;1;12228;4;0
1013;Hattemerbroek;52.47417;6.02222;12;1;1025;5;0
1014;Haule;53.03587;6.30538;12;1;415;8;0
1015;Haulerwijk;53.06468;6.33453;12;1;2935;7;0
1016;Hauwert;52.70833;5.1;12;1;720;-2;0
1017;Havelte;52.76941;6.24015;12;1;3060;6;0
1018;Havelterberg;52.77417;6.18194;12;1;190;9;0
1019;Hazeldonk;51.50537;4.74781;12;1;40;7;0
1020;Hedel;51.74802;5.26134;12;1;4350;4;0
1021;Hedikhuizen;51.73333;5.18611;12;1;275;4;0
1022;Heechterp;53.20963;5.8225;19;1;1805;0;0
1023;Heeg;52.9686;5.61075;12;1;1995;1;0
1024;Heek;50.87583;5.8625;12;1;120;108;0
1025;Heel;51.17917;5.89444;12;1;3980;29;0
1026;Heelsum;51.98417;5.75833;12;1;3175;30;0
1027;Heelweg;51.97029;6.48365;12;1;110;19;0
1028;Heemserveen;52.58167;6.56667;12;1;310;8;0
1029;Heemskerk;52.50945;4.65386;2;1;39191;3;0
1030;Heemskerkerduin;52.5075;4.63194;19;1;800;4;0
1031;Heemstede;52.34719;4.61838;2;1;27545;5;0
1032;Heensche Molen;51.60333;4.24583;12;1;50;0;0
1033;Heenweg;51.98167;4.18056;12;1;680;1;0
1034;Heer;50.83836;5.72989;19;1;7615;58;0
1035;Heerde;52.38833;6.03889;2;1;18776;9;0
1036;Heerenveen;52.9422;6.0441;2;1;50650;4;0
1037;Heerewaarden;51.81769;5.393;12;1;1005;7;0
1038;Heerhugowaard;52.6821;4.84363;3;1;55850;-4;0
1039;Heerjansdam;51.83583;4.56389;12;1;3770;2;0
1040;Heerle;51.51917;4.35972;12;1;1320;7;0
1041;Heerlen;50.88365;5.98154;12;1;93084;114;0
1042;Hees;51.84136;5.82846;19;1;2875;10;0
1043;Heesbeen;51.72889;5.11388;12;1;180;1;0
1044;Heesch;51.73362;5.52672;12;1;12810;9;0
1045;Heeseind;51.73569;5.4221;12;1;520;5;0
1046;Heesselt;51.81333;5.34722;12;1;170;5;0
1047;Heesterakker;51.4861;5.49681;19;1;2765;17;0
1048;Heeswijk;52.05167;4.96944;12;1;665;1;0
1049;Heeswijk-Dinther;51.65083;5.475;12;1;7985;9;0
1050;Heeze;51.3828;5.57145;14;1;9945;24;0
1051;Heeze-Leende;51.36404;5.5587;2;1;16243;23;0
1052;Hefswal;53.425;6.7375;12;1;145;0;0
1053;Hegelsom;51.43917;6.03889;12;1;1185;28;0
1054;Hei- en Boeicop;51.94462;5.082;12;1;1000;1;0
1055;Heide;51.06833;5.87222;12;1;1040;31;0
1056;Heidenschap;53.23636;6.68415;12;1;65;-3;0
1057;Heihoek;51.75921;5.49849;12;1;970;6;0
1058;Heijen;51.675;5.98056;12;1;1610;17;0
1059;Heijningen;51.65583;4.40833;12;1;510;0;0
1060;Heijplaat;51.89333;4.42083;12;1;1365;2;0
1061;Heilig Landstichting;51.81917;5.88333;12;1;695;40;0
1062;Heiligerlee;53.15667;7.00972;12;1;1365;3;0
1063;Heiloo;52.60122;4.70945;2;1;24144;6;0
1064;Heinenoord;51.82602;4.47659;12;1;610;2;0
1065;Heino;52.43661;6.23282;12;1;6459;3;0
1066;Heksenberg;50.92068;5.97373;12;1;2395;108;0
1067;Helden;51.31917;6.0;12;1;5530;36;0
1068;Helenaveen;51.39;5.91667;12;1;665;34;0
1069;Helhoek;51.89917;4.09167;12;1;40;1;0
1070;Helkant;51.675;4.75417;12;1;260;1;0
1071;Hellebeuk;50.88;5.86528;12;1;75;139;0
1072;Hellendoorn;52.39022;6.46434;2;1;35932;7;0
1073;Hellevoetsluis;51.83333;4.13333;3;1;40312;0;0
1074;Hellouw;51.82667;5.17639;12;1;790;2;0
1075;Hellum;53.23833;6.83889;12;1;515;2;0
1076;Helmond;51.47968;5.65559;2;1;90903;21;0
1077;Helpman;53.19794;6.57978;19;1;6050;7;0
1078;Helvoirt;51.63167;5.23056;12;1;3625;8;0
1079;Helwijk;51.67583;4.43194;12;1;595;-1;0
1080;Hem;52.66083;5.18333;12;1;1035;3;0
1081;Hemelum;52.88084;5.45626;12;1;505;4;0
1082;Hemmen;51.93417;5.70139;12;1;130;11;0
1083;Hemrik;53.03163;6.13876;12;1;490;5;0
1084;Hendrik-Ido-Ambacht;51.84273;4.63975;2;1;30677;-1;0
1085;Hengelo;52.2591;6.77876;2;1;102773;18;0
1086;Hengevelde;52.19917;6.63611;12;1;1510;18;0
1087;Hengstdal;51.83333;5.88333;19;1;7010;44;0
1088;Hensbroek;52.65833;4.88472;12;1;1345;-2;0
1089;Herbaijum;53.1849;5.49488;12;1;210;3;0
1090;Herfte;52.50833;6.15694;12;1;390;2;0
1091;Herike;52.24917;6.53472;12;1;370;16;0
1092;Herkenbosch;51.15333;6.06389;12;1;3935;32;0
1093;Herkenrade;50.7975;5.77917;12;1;175;136;0
1094;Hernen;51.83417;5.68056;12;1;700;9;0
1095;Herpen;51.77167;5.64167;12;1;2360;10;0
1096;Herpt;51.72917;5.15556;12;1;720;3;0
1097;Herten;51.18083;5.9625;12;1;3305;23;0
1098;Hertme;52.32083;6.75972;12;1;290;13;0
1099;Herveld;51.90583;5.75417;12;1;415;7;0
1100;Herwen;51.885;6.1;12;1;750;14;0
1101;Herwijnen;51.82667;5.12917;12;1;2305;2;0
1102;Herxen;52.43;6.13472;12;1;435;2;0
1103;Het Beijersche;51.98417;4.73194;12;1;365;-2;0
1104;Het Bildt;53.28397;5.6487;3;1;10625;-1;0
1105;Het Busselke;51.44501;5.51078;19;1;250;18;0
1106;Het Loo;52.2339;5.95275;19;1;1330;19;0
1107;Het Oostrik;52.25;6.21667;12;1;2380;7;0
1108;Heteren;51.95667;5.75556;12;1;4805;9;0
1109;Heugem;50.82791;5.70774;19;1;4620;50;0
1110;Heukelom;51.57667;5.15694;12;1;305;12;0
1111;Heumen;51.77438;5.81312;2;1;16569;12;0
1112;Heusden;51.69975;5.16598;2;1;43723;7;0
1113;Heusdenhout;51.58811;4.8193;19;1;5160;6;0
1114;Heveadorp;51.975;5.8125;12;1;750;32;0
1115;Heythuysen;51.25;5.89861;12;1;6420;31;0
1116;Hezelaar;51.56833;5.39167;12;1;155;10;0
1117;Hiaure;53.34732;5.97227;12;1;65;-1;0
1118;Hichtum;53.08129;5.52552;12;1;85;2;0
1119;Hidaard;53.07897;5.60337;12;1;130;3;0
1120;Hieslum;53.00822;5.48862;12;1;80;1;0
1121;Hijken;52.895;6.49722;12;1;640;15;0
1122;Hijum;53.29057;5.76611;12;1;380;-1;0
1123;Hilaard;53.16468;5.71135;12;1;245;1;0
1124;Hillegom;52.29616;4.57822;2;1;22197;2;0
1125;Hilleshagen;50.79833;5.95139;12;1;100;172;0
1126;Hilvarenbeek;51.47772;5.14778;2;1;15366;14;0
1127;Hilversum;52.22252;5.16789;2;1;90261;16;0
1128;Hilversumse Meent;52.27115;5.13729;19;1;4065;1;0
1129;Hindeloopen;52.94212;5.40081;12;1;810;2;0
1130;Hingen;51.105;5.89861;12;1;625;30;0
1131;Hippolytushoef;52.9075;4.9625;12;1;4800;5;0
1132;Hitzum;53.16576;5.51754;12;1;200;1;0
1133;Hobrede;52.54417;4.97917;12;1;145;-2;0
1134;Hodenpijl;51.985;4.32083;12;1;115;-2;0
1135;Hoek;53.20455;5.80192;19;1;1100;5;0
1136;Hoek van Holland;51.9775;4.13333;12;1;9400;4;0
1137;Hoenderloo;52.1175;5.87917;12;1;730;51;0
1138;Hoensbroek;50.92387;5.92528;12;1;25000;85;0
1139;Hoenzadriel;51.75417;5.32917;12;1;165;2;0
1140;Hoeven;51.57917;4.58333;12;1;4895;5;0
1141;Hof van Twente;52.24341;6.59749;2;1;35040;14;0
1142;Hofgeest;52.44333;4.65833;19;1;1440;2;0
1143;Hoge Enk;52.43;5.84167;12;1;895;3;0
1144;Hoge Mors;52.15616;4.46025;19;1;5050;1;0
1145;Hoge Vucht;51.60794;4.7915;19;1;16000;4;0
1146;Hogebrug;52.02667;4.80417;12;1;80;-1;0
1147;Holkerveen;52.19917;5.45417;12;1;485;3;0
1148;Hollands Kroon;52.84882;4.90711;2;1;47681;-3;0
1149;Hollandsch Ankeveen;52.27199;5.11122;12;1;130;-1;0
1150;Hollandsche Rading;52.175;5.17778;12;1;1325;5;0
