id;name;latitude;longitude;typeLandCode;countryCode;population;dem;isLoad
244;Vught;51.65333;5.2875;1;1;25043;8;1
245;Waalwijk;51.6825;5.07083;1;1;45610;4;1
246;Waddinxveen;52.045;4.65139;1;1;25338;-1;1
247;Wageningen;51.97;5.66667;1;1;35433;12;1
248;Wassenaar;52.14583;4.40278;1;1;25353;2;1
249;Weert;51.25167;5.70694;1;1;48662;38;1
250;Weesp;52.3075;5.04167;1;1;17802;5;1
251;Werkendam;51.81;4.89444;1;1;11204;2;1
252;Wierden;52.35917;6.59306;1;1;23244;13;1
253;Wijchen;51.80917;5.725;1;1;32693;10;1
254;Wijk bij Duurstede;51.97417;5.34167;1;1;17465;6;1
255;Winschoten;53.14417;7.03472;1;1;18506;3;1
256;Winterswijk;51.9725;6.71944;1;1;29623;38;1
257;Wisch;51.92648;6.41705;1;1;19496;15;1
258;Woerden;52.085;4.88333;1;1;48431;4;1
259;Wolvega;52.87545;5.99691;3;1;13090;5;1
260;Woudenberg;52.08083;5.41667;1;1;11305;4;1
261;Ypenburg;52.04098;4.36981;1;1;30000;-4;1
262;Zaandam;52.43854;4.82643;1;1;71708;-1;1
263;Zaanstad;52.45313;4.81356;1;1;140085;2;1
264;Zaltbommel;51.81;5.24444;1;1;26383;5;1
265;Zandvoort;52.37125;4.53306;1;1;16868;6;1
266;Zeewolde;52.33;5.54167;1;1;19022;-1;1
267;Zeist;52.09;5.23333;1;1;60949;5;1
268;Zevenaar;51.93;6.07083;1;1;26063;12;1
269;Zierikzee;51.65;3.91944;1;1;10483;7;1
270;Zoetermeer;52.0575;4.49306;1;1;115845;0;1
271;Zutphen;52.13833;6.20139;1;1;36188;10;1
272;Zwijndrecht;51.8175;4.63333;1;1;45696;0;1
273;Zwolle;52.5125;6.09444;2;1;111805;9;1
